Unnamed: 0,Date,Annual Movement (%)
"Selected services, annual movement (%)",Unnamed: 1,Jun-22
Vet & other pet services,Unnamed: 1,7.3
Restaurant meals,Unnamed: 1,5
Rents,Unnamed: 1,1.6
Hairdressing & personal grooming services,Unnamed: 1,4.6
Maintenance & repair of dwelling,Unnamed: 1,5.9
Insurance,Unnamed: 1,3.1
Financial services,Unnamed: 1,3.3
Services - total,Unnamed: 1,3.3
,Unnamed: 1,
,Unnamed: 1,
"Selected services, annual movement (%)",Unnamed: 2,Sep-22
Vet & other pet services,Unnamed: 2,7.8
Restaurant meals,Unnamed: 2,5.8
Rents,Unnamed: 2,2.8
Hairdressing & personal grooming services,Unnamed: 2,5.2
Maintenance & repair of dwelling,Unnamed: 2,6.7
Insurance,Unnamed: 2,4.2
Financial services,Unnamed: 2,4.2
Services - total,Unnamed: 2,4.1
,Unnamed: 2,
,Unnamed: 2,
"Selected services, annual movement (%)",Unnamed: 3,Dec-22
Vet & other pet services,Unnamed: 3,8.7
Restaurant meals,Unnamed: 3,6.9
Rents,Unnamed: 3,4
Hairdressing & personal grooming services,Unnamed: 3,6
Maintenance & repair of dwelling,Unnamed: 3,5.8
Insurance,Unnamed: 3,6.3
Financial services,Unnamed: 3,4.8
Services - total,Unnamed: 3,5.5
,Unnamed: 3,
,Unnamed: 3,
"Selected services, annual movement (%)",Unnamed: 4,Mar-23
Vet & other pet services,Unnamed: 4,8.2
Restaurant meals,Unnamed: 4,7
Rents,Unnamed: 4,4.9
Hairdressing & personal grooming services,Unnamed: 4,6.3
Maintenance & repair of dwelling,Unnamed: 4,6.1
Insurance,Unnamed: 4,8.8
Financial services,Unnamed: 4,5.9
Services - total,Unnamed: 4,6.1
,Unnamed: 4,
,Unnamed: 4,
"Selected services, annual movement (%)",Unnamed: 5,Jun-23
Vet & other pet services,Unnamed: 5,7.7
Restaurant meals,Unnamed: 5,6.5
Rents,Unnamed: 5,6.7
Hairdressing & personal grooming services,Unnamed: 5,7.1
Maintenance & repair of dwelling,Unnamed: 5,5.7
Insurance,Unnamed: 5,14.2
Financial services,Unnamed: 5,7.1
Services - total,Unnamed: 5,6.3
,Unnamed: 5,
,Unnamed: 5,
